geneSYM-ensembl,gs-vs-gc log2FC,gs-vs-gc FDR,,,
AC079042.1,0.039885767,0.903277647,,,
RP23-205B8.2,0.039877203,NA,,,
RP23-59P17.1,0.039869132,NA,,,
Clptm1l,0.039856993,0.617899553,,,
Gm26003,0.039838182,NA,,,
Cdc73,0.039814683,0.80129242,,,
RP23-47L13.1,0.039810952,0.90303244,,,
RP24-123H11.2,0.039759434,NA,,,
Tbc1d10a,0.039751153,0.741971805,,,
Chchd6,0.039702313,0.872515163,,,
RP23-143J5.6,0.03970091,NA,,,
Marc2,0.039694448,0.712243801,,,
Ptprg,0.039682829,0.744261489,,,
Abcb9,0.039672699,NA,,,
RP23-21D6.1,0.039660612,NA,,,
Fam35a,0.039653764,0.858701724,,,
RP23-254N4.1,0.039641852,0.818644253,,,
Ppm1j,0.039590328,0.895562673,,,
Pcdhgb7,0.039589877,NA,,,
RP24-309H3.3,0.039589153,NA,,,
Rnf34,0.039554744,0.762499692,,,
Zfp668,0.039541366,0.824920356,,,
RP24-350B12.3,0.039527389,NA,,,
Gm26675,0.039524234,NA,,,
Mir6935,0.039479778,0.903838835,,,
Apon,0.039474097,0.897437566,,,
Atg16l2,0.039459418,0.880066909,,,
Faf2,0.039451484,0.696995603,,,
Efcab5,0.039424107,0.902668363,,,
RP23-333I5.2,0.039409164,NA,,,
RP23-220J15.5,0.039407996,NA,,,
Acad8,0.039398838,0.800501277,,,
Zfp82,0.039382294,NA,,,
Tpmt,0.039379701,0.857776039,,,
Ppp1r2,0.039354609,0.704322435,,,
Tdg,0.039334446,0.814191524,,,
Banp,0.039315219,0.798577473,,,
Churc1,0.039306889,0.898839947,,,
Tspan14,0.039298598,0.727671772,,,
Zbtb20,0.039272506,0.902134984,,,
Rpl13a-ps1,0.039257574,0.902062017,,,
Map3k10,0.039247125,0.861346635,,,
Hmgcr,0.039196781,0.558644957,,,
Gm44342,0.039191511,0.9048764,,,
RP23-344H4.4,0.039157273,NA,,,
Rasl2-9,0.039112772,NA,,,
Usp42,0.039110134,0.844643178,,,
Ano9,0.039101924,NA,,,
Ndufb6,0.039090931,0.729839673,,,
Dnttip1,0.03908523,0.781061968,,,
RP23-29H22.3,0.039083412,NA,,,
RP23-232B20.6,0.039076196,NA,,,
Efr3b,0.039055783,NA,,,
Myo9b,0.039046143,0.654756072,,,
Ncln,0.039045866,0.693723452,,,
Tarsl2,0.039042679,0.824920356,,,
RP24-262G23.6,0.039041698,0.785135573,,,
AC087062.10,0.039034561,0.904893939,,,
RP24-441F13.12,0.039034557,NA,,,
Cdkn2aip,0.038996691,0.814191524,,,
RP23-137J12.1,0.038984361,NA,,,
RP23-280M4.5,0.038965164,NA,,,
Nab1,0.03895348,0.634963653,,,
Fam60a,0.038938625,0.835557933,,,
Mir6951,0.038916311,NA,,,
Egfr,0.03891467,0.607509885,,,
Mettl3,0.03891337,0.826277761,,,
Gm27907,0.038908163,NA,,,
Krt27,0.038905552,NA,,,
RP23-79O10.7,0.038905552,NA,,,
Dnase1l2,0.038877858,0.902668363,,,
Nek10,0.038846927,NA,,,
Hnrnpll,0.038786531,0.7189201,,,
RP23-331E12.9,0.03877355,NA,,,
Inppl1,0.038772499,0.72065189,,,
Gnpnat1,0.038761334,0.829465552,,,
Olfml2a,0.038754522,NA,,,
AC122807.3,0.038737743,NA,,,
Spx,0.038705201,NA,,,
Acaa1b,0.038692153,NA,,,
RP24-108G5.4,0.038677409,NA,,,
Mir7647,0.038648085,NA,,,
Slc25a10,0.038592257,0.731772153,,,
RP24-152K24.2,0.038584935,NA,,,
Ginm1,0.038583914,NA,,,
Krt4,0.038575297,NA,,,
Gm22952,0.038572233,NA,,,
RP24-100G17.1,0.038561729,NA,,,
Il12rb1,0.038559329,NA,,,
Ndufa12,0.038536672,0.73591061,,,
RP23-223I5.2,0.038533279,NA,,,
Mitf,0.038533004,0.902327441,,,
Rps15,0.038511652,0.670286234,,,
Nek4,0.03846351,0.849264177,,,
Hotairm1,0.038430964,0.906422301,,,
Mzt1,0.038401757,0.809201153,,,
Clec2h,0.038396813,NA,,,
RP23-162G11.1,0.038333773,NA,,,
Ces1d,0.038329418,NA,,,
RP23-356K2.6,0.038316534,0.902419205,,,
RP23-60K23.10,0.038301909,NA,,,
Mir6965,0.038294087,NA,,,
Pdlim1,0.038286515,0.665272913,,,
Adck5,0.038274275,0.839420977,,,
RP23-58N8.6,0.038240446,NA,,,
Fn3k,0.038198504,NA,,,
Gsg1,0.038198504,NA,,,
Pilra,0.038198504,NA,,,
RP23-331I23.3,0.038198504,NA,,,
RP23-372C7.5,0.038198504,NA,,,
RP24-89C18.1,0.038198504,NA,,,
Abcc3,0.038182391,0.850688838,,,
Gps1,0.038178947,0.707660748,,,
Fdps,0.038167459,0.856559564,,,
RP23-173E15.1,0.038156431,NA,,,
RP23-65F24.4,0.038156431,NA,,,
RP23-96A14.2,0.038156431,NA,,,
Med9os,0.038152881,NA,,,
Cage1,0.038139663,0.907406813,,,
Prss22,0.038100862,0.870816351,,,
Iqch,0.03809012,NA,,,
Pex13,0.038042028,0.770355652,,,
Creb1,0.038033547,0.717157183,,,
Ttc23,0.038026745,0.765482297,,,
Stx3,0.037974533,0.720476004,,,
Cmtm7,0.037972264,0.810038212,,,
RP23-355K21.3,0.037965429,NA,,,
Bbs10,0.03795922,0.88589332,,,
Mgat4b,0.037958369,0.73977889,,,
Brd9,0.037944764,0.807447622,,,
Rnf8,0.037923125,0.903110605,,,
Pptc7,0.03791327,0.734347844,,,
RP23-177J21.2,0.037893084,0.900746936,,,
Upk3bl,0.037891412,0.816382814,,,
RP24-549A19.5,0.037837095,NA,,,
Mphosph6,0.037791518,0.782496771,,,
Arhgef33,0.037743788,NA,,,
Gm23085,0.037743788,NA,,,
Gm26603,0.037743788,NA,,,
Mir222,0.037743788,NA,,,
RP23-187B11.11,0.037743788,NA,,,
RP23-304L22.1,0.037743788,NA,,,
RP23-222K15.15,0.037741689,0.906189843,,,
RP24-460O22.5,0.037720062,NA,,,
Gm22105,0.037685685,NA,,,
Gm24082,0.037685685,NA,,,
Peak1os,0.037685685,NA,,,
RP23-13G1.7,0.037685685,NA,,,
RP23-38F20.5,0.037685685,NA,,,
RP24-359H20.2,0.037685685,NA,,,
Tesc,0.037685685,NA,,,
Tgm4,0.037685685,NA,,,
Dzank1,0.037646164,NA,,,
Snord15a,0.037565226,0.906242566,,,
AC155937.2,0.037538138,NA,,,
Hipk2,0.037531244,0.890314472,,,
RP24-443B5.5,0.037517902,NA,,,
Phex,0.037512523,NA,,,
Il20rb,0.037506334,0.905253702,,,
Retn,0.037487398,NA,,,
RP24-116C19.5,0.037479628,NA,,,
Setd3,0.037476052,0.701251336,,,
Lama1,0.037458261,0.90906862,,,
Ehmt1,0.037454226,0.675592041,,,
Atg101,0.037450713,0.822029385,,,
RP23-132B15.4,0.037446971,NA,,,
RP23-155D8.5,0.037443807,0.909205817,,,
Zfp275,0.037432615,0.754224117,,,
Mir200a,0.037389464,NA,,,
Pfdn5,0.037377767,0.768934436,,,
RP23-249L6.2,0.037362798,0.906242566,,,
Fbxw9,0.037354417,0.781061968,,,
Gm17586,0.037353661,0.905963023,,,
Mir7064,0.037315717,NA,,,
Fam173b,0.037311167,0.860155377,,,
Ghrl,0.037278894,NA,,,
Krt33a,0.037278894,NA,,,
Raver2,0.03725882,NA,,,
Iars,0.037246025,0.717783885,,,
Gtf2f1,0.03724522,0.745267274,,,
Zswim5,0.037229124,NA,,,
RP24-89A4.2,0.037199868,NA,,,
RP23-377H12.5,0.037197484,NA,,,
Hars2,0.037165063,0.788339782,,,
RP24-226A8.2,0.037142777,NA,,,
Med8,0.037124313,0.752867769,,,
RP23-193A14.4,0.037077676,NA,,,
Pik3r5,0.037071643,NA,,,
Lrrn3,0.037055797,NA,,,
Faim,0.037050355,0.847112857,,,
Exoc3l,0.037048177,0.907406813,,,
Uqcrfs1,0.037018519,0.703440851,,,
Xist,0.03700627,NA,,,
RP24-501N9.1,0.037006083,NA,,,
Tsnaxip1,0.037006083,NA,,,
AC113001.2,0.036974563,NA,,,
Tardbp,0.036931389,0.731360031,,,
Bricd5,0.036929517,NA,,,
Lrrc1,0.036924221,0.744865085,,,
S100a2,0.036907178,NA,,,
RP23-381K3.4,0.036897271,NA,,,
Smim11,0.036859316,0.862294617,,,
Adrbk1,0.036858691,0.657017233,,,
Rars,0.036827234,0.600299255,,,
RP23-462F3.3,0.036800265,0.90660909,,,
Itgb1bp2,0.036792361,0.911021436,,,
Gm26175,0.036759713,NA,,,
Ttc30a1,0.036699297,0.898839947,,,
Zfp28,0.036690514,0.910621967,,,
Exog,0.036672745,0.852960669,,,
Kcng1,0.036605859,NA,,,
RP24-380G7.4,0.036605859,NA,,,
RP23-13B8.10,0.036558675,NA,,,
RP24-406G8.1,0.036531433,NA,,,
Pls1,0.036525364,NA,,,
Spata9,0.036520155,NA,,,
Rnh1,0.036518587,0.730172906,,,
Zfyve19,0.036481246,0.852960669,,,
RP23-94B13.2,0.036448973,NA,,,
Bspry,0.036406644,NA,,,
RP23-456B9.21,0.036406644,NA,,,
Mir7-1,0.036402382,NA,,,
Nxf1,0.036384056,0.670238964,,,
Slc26a1,0.036346244,NA,,,
Limd1,0.036307271,0.734426725,,,
Rps25,0.036277978,0.593071048,,,
Snx10,0.036235473,0.780217038,,,
Zfp207,0.036230034,0.637504208,,,
RP23-288J11.2,0.036186044,NA,,,
Paox,0.036149842,0.910791676,,,
Osbpl6,0.036132097,NA,,,
AC087420.7,0.036123881,NA,,,
Gm24045,0.036123881,NA,,,
Gm49347,0.036123881,NA,,,
Mir6392,0.036123881,NA,,,
RP23-407F12.1,0.036123881,NA,,,
RP24-541B4.5,0.036123881,NA,,,
Zc2hc1b,0.036123881,NA,,,
RP24-108G5.1,0.036103987,NA,,,
RP24-176P22.1,0.036091865,NA,,,
Susd6,0.036066741,0.725388107,,,
RP24-225K18.5,0.036053688,NA,,,
Sv2a,0.036053398,NA,,,
Fam171b,0.036052429,0.912070849,,,
Snord61,0.036048764,NA,,,
Cdc14a,0.036034508,0.890362072,,,
Nr1d2,0.036025299,0.778292142,,,
AC129603.1,0.036021989,NA,,,
Gm10073,0.03598835,0.894273084,,,
Rad52,0.035978858,0.849512291,,,
Spaca6,0.035961164,0.883803475,,,
Tle1,0.035917643,0.817944655,,,
Eef1a1,0.035900497,0.602749812,,,
Exoc1,0.035872328,0.708601337,,,
Lrrc45,0.035870622,0.768233665,,,
Rbsn,0.035857412,0.780741464,,,
RP23-354G20.10,0.035841671,NA,,,
Inpp5b,0.035841249,0.862177979,,,
Fam228b,0.035817785,NA,,,
Ctr9,0.035810701,0.698701589,,,
Tmem179,0.035736248,0.905253702,,,
Ptpn1,0.035721988,0.692574557,,,
Ninl,0.035717124,0.804232669,,,
Capg,0.035709749,0.68942232,,,
Mzb1,0.035695121,NA,,,
Tuba3b,0.035695121,NA,,,
Hyi,0.035682585,0.912350309,,,
Epsti1,0.035678336,NA,,,
Chd5,0.035664584,NA,,,
Tmem191c,0.035661444,NA,,,
Tbc1d10b,0.035645282,0.780741464,,,
RP24-188H2.4,0.035613071,NA,,,
Dnajb6,0.035607125,0.786181761,,,
RP24-70J8.1,0.035583589,NA,,,
Obsl1,0.035555271,0.808461705,,,
Mir1960,0.035550238,NA,,,
RP23-167L1.7,0.035550238,NA,,,
Tnr,0.03550619,NA,,,
Tubgcp4,0.035502994,0.718260063,,,
Defb4,0.035500766,NA,,,
Gm26615,0.035500766,NA,,,
H19,0.035500766,NA,,,
RP23-333I12.1,0.035500766,NA,,,
RP23-348C6.1,0.035500766,NA,,,
Mgarp,0.035499968,NA,,,
6030445D17Rik,0.035492435,NA,,,
RP23-268A12.3,0.035478567,NA,,,
RP23-225M12.1,0.035460039,NA,,,
Rprm,0.035460039,NA,,,
RP23-23C4.5,0.035415189,0.912070146,,,
Mir8116,0.035328066,NA,,,
Mroh8,0.035328066,NA,,,
Polr2m,0.035322889,0.676065063,,,
Egln3,0.03531082,0.804529541,,,
Gm22581,0.035290735,NA,,,
RP23-477N9.4,0.03525538,NA,,,
Amn,0.035216636,NA,,,
RP23-37J21.5,0.035209509,NA,,,
Adnp2,0.035197205,0.764577105,,,
Lef1,0.035196024,0.902668363,,,
Snora70,0.035190069,0.904292002,,,
Sac3d1,0.035177058,0.788480149,,,
Cc2d2a,0.03516796,0.854077819,,,
Mir1933,0.035145941,NA,,,
Mir7116,0.035145941,NA,,,
Paqr6,0.035110749,NA,,,
Krt76,0.03509832,NA,,,
RP23-362F15.1,0.035084429,NA,,,
RP24-208F10.4,0.035070289,NA,,,
Gli1,0.035061758,0.912350309,,,
Tmem81,0.035056364,0.894559996,,,
RP23-179K11.8,0.035052853,NA,,,
Shd,0.035033258,NA,,,
RP23-166O7.1,0.035031654,0.912578403,,,
RP24-120F8.5,0.035013587,NA,,,
RP24-224A19.1,0.035003558,NA,,,
Cxx1a,0.034954957,NA,,,
Icam4,0.034953249,NA,,,
RP23-314N18.1,0.034953249,NA,,,
RP23-355K21.4,0.034945672,NA,,,
Psmd6,0.034943165,0.698053583,,,
AC092855.1,0.034934319,NA,,,
RP23-101H1.21,0.034926968,NA,,,
Taf6l,0.034924575,0.77080921,,,
Pigg,0.03490746,0.860165473,,,
Csde1,0.03490194,0.591996803,,,
Gm23711,0.034863517,NA,,,
Asb7,0.034808752,0.85611301,,,
Fry,0.034727055,0.912350309,,,
RP23-17C12.7,0.034725106,0.847112857,,,
Ndufa6,0.034723344,0.810610865,,,
RP24-183G19.6,0.034719806,NA,,,
Mmp1a,0.03469135,NA,,,
Rrp1,0.034677485,0.688447157,,,
Hmgcs2,0.034666397,NA,,,
Vwf,0.034648234,NA,,,
Pgap3,0.034631039,0.897982355,,,
Cfl1,0.034573818,0.728097269,,,
Ppp1r18os,0.03450894,NA,,,
Akap11,0.03450853,0.753745789,,,
Prrt3,0.034471423,NA,,,
RP23-203F1.2,0.034471423,NA,,,
RP23-391I11.9,0.034471423,NA,,,
RP24-63O24.1,0.034471361,NA,,,
Ppm1f,0.034463749,0.732334164,,,
RP23-25N17.6,0.03446286,0.914643732,,,
RP23-146P7.2,0.034439383,NA,,,
RP23-285E22.4,0.034439383,NA,,,
Gm22887,0.034414979,NA,,,
Ice2,0.034394541,0.846392601,,,
Clmn,0.034369439,0.910989677,,,
Hapln3,0.034351795,NA,,,
Syne2,0.034331025,0.664680257,,,
RP23-24M22.6,0.034276438,NA,,,
RP24-221A23.7,0.034266965,NA,,,
Lad1,0.034260595,0.665272913,,,
RP23-216P14.8,0.03425235,0.731029158,,,
RP24-69E21.1,0.034214589,NA,,,
Zfp266,0.034202936,0.727715079,,,
RP23-291K4.3,0.034191433,NA,,,
Celf1,0.034173131,0.718317926,,,
Rpl4,0.034158006,0.627615865,,,
Gm23232,0.034110566,NA,,,
Gm24379,0.034110566,NA,,,
3110021N24Rik,0.034103896,NA,,,
AC084391.4,0.034076836,NA,,,
AL592169.2,0.034076836,NA,,,
Accsl,0.034076836,NA,,,
Alpk3,0.034076836,NA,,,
Btbd18,0.034076836,NA,,,
Dcc,0.034076836,NA,,,
Dppa2,0.034076836,NA,,,
Elmo1,0.034076836,NA,,,
Erich6,0.034076836,NA,,,
Gm25319,0.034076836,NA,,,
Gm26058,0.034076836,NA,,,
Gnb3,0.034076836,NA,,,
Nid1,0.034076836,NA,,,
Plxnb3,0.034076836,NA,,,
Prss56,0.034076836,NA,,,
RP23-11M21.3,0.034076836,NA,,,
RP23-209N19.4,0.034076836,NA,,,
RP23-280F6.6,0.034076836,NA,,,
RP23-293K21.5,0.034076836,NA,,,
RP23-36G5.2,0.034076836,NA,,,
RP23-67I3.5,0.034076836,NA,,,
RP23-80O10.3,0.034076836,NA,,,
RP23-98C9.5,0.034076836,NA,,,
Clk4,0.034054862,0.811460012,,,
Ccl27a,0.034049564,0.911795802,,,
RP23-61D6.5,0.034045347,0.913008029,,,
Osbpl1a,0.034044541,0.832680507,,,
Rnf216,0.034000955,0.780864382,,,
Mir6920,0.033958518,NA,,,
Pgam1,0.033945158,0.745070389,,,
Vkorc1l1,0.033931494,0.811832546,,,
4930598A11Rik,0.033912796,NA,,,
Ankrd45,0.033912796,NA,,,
Asb15,0.033912796,NA,,,
Carmil3,0.033912796,NA,,,
Dnajb13,0.033912796,NA,,,
Lelp1,0.033912796,NA,,,
Meox1,0.033912796,NA,,,
Ms4a2,0.033912796,NA,,,
RP23-123I10.3,0.033912796,NA,,,
RP23-17C2.4,0.033912796,NA,,,
RP23-281M13.1,0.033912796,NA,,,
RP24-548A15.2,0.033912796,NA,,,
Tmem182,0.033912796,NA,,,
Vgll1,0.033912796,NA,,,
Prkd1,0.033901993,NA,,,
RP23-105O12.2,0.033901993,NA,,,
RP24-345H5.2,0.033901993,NA,,,
Ankrd13b,0.033901177,0.856559564,,,
Mss51,0.033899942,NA,,,
Chrnb1,0.033886202,0.912411717,,,
RP23-81L22.3,0.033872516,NA,,,
Zfp932,0.033853797,0.88195405,,,
Nhlrc4,0.033847698,NA,,,
Gm24806,0.033824708,NA,,,
Rbm39,0.033813489,0.651575028,,,
Abcc1,0.033813269,0.66419376,,,
RP23-88A20.2,0.033796664,NA,,,
RP23-297M4.4,0.03378106,NA,,,
AC134827.3,0.033755406,NA,,,
RP23-293I7.7,0.033755406,NA,,,
RP23-340E6.2,0.033755406,NA,,,
Zfp534,0.033749152,NA,,,
Kcnd1,0.03371259,NA,,,
Spns1,0.033708665,0.798065163,,,
Tex21,0.033685254,NA,,,
Guca1a,0.033615215,0.91357494,,,
RP23-4H17.1,0.033606715,0.916906284,,,
Gnb2,0.033576835,0.703208054,,,
Sptlc1,0.033564426,0.74378408,,,
Pf4,0.0335221,NA,,,
Pikfyve,0.033485127,0.724418969,,,
Gm23723,0.033484618,NA,,,
RP23-278C10.9,0.033484618,NA,,,
Rfx3,0.033472092,0.891862292,,,
Rbm20,0.033458139,NA,,,
Atp1a1,0.033449406,0.6810105,,,
Nrn1l,0.033439371,NA,,,
Mettl14,0.033439122,0.865847829,,,
RP23-398K14.3,0.033408978,NA,,,
RP23-39I4.9,0.033389872,0.91357494,,,
RP23-393C3.4,0.03338856,NA,,,
RP23-330D3.9,0.033388447,0.912350309,,,
Serpinc1,0.033379674,NA,,,
RP23-151M22.7,0.033378585,NA,,,
RP23-5D6.6,0.033374819,NA,,,
RP24-121I11.2,0.033374819,NA,,,
Cdk6,0.033369686,0.680584702,,,
4930535I16Rik,0.033367721,NA,,,
B9d1os,0.033367721,NA,,,
Gm23248,0.033367721,NA,,,
RP23-438F16.21,0.033367721,NA,,,
RP24-83D14.4,0.033367721,NA,,,
Serpinb9d,0.033367721,NA,,,
Snai1,0.033367721,NA,,,
RP23-296N5.1,0.033316816,NA,,,
RP24-511M8.3,0.033316235,NA,,,
RP23-195I24.3,0.033267121,NA,,,
RP23-64O5.8,0.033266993,NA,,,
RP23-24N16.5,0.03324899,NA,,,
RP23-32L21.4,0.03324899,NA,,,
Polr2g,0.033227749,0.778292142,,,
Ermp1,0.033226113,0.707889682,,,
Ifi27l2a,0.033220887,NA,,,
Capn7,0.033201696,0.790823396,,,
Cstf2t,0.033169656,0.745070389,,,
Nono,0.033138068,0.703208054,,,
Gm23908,0.033123679,NA,,,
Khnyn,0.033122422,0.880670032,,,
RP23-43G12.1,0.033118355,0.797219175,,,
Nprl3,0.03311677,0.851347438,,,
Ehd3,0.033092925,NA,,,
Cnih1,0.033035465,0.738658014,,,
Zfp622,0.033031486,0.78570685,,,
Med23,0.033028678,0.744089981,,,
Klk10,0.032998436,NA,,,
Gfra2,0.032988828,NA,,,
Pip5k1b,0.032984651,0.91357494,,,
Mlkl,0.032981391,0.764779484,,,
Fam131b,0.032975657,NA,,,
Gm26073,0.032975657,NA,,,
Pglyrp1,0.032975657,NA,,,
RP23-476E21.3,0.032938996,NA,,,
RP23-78N8.4,0.032938996,NA,,,
Tmem92,0.032938996,NA,,,
Bmp4,0.032937466,NA,,,
Zcchc10,0.032917045,0.90303244,,,
Mir26b,0.032909962,NA,,,
Vsig10,0.032861635,0.85444491,,,
Picalm,0.032814752,0.711650964,,,
Oxa1l,0.032771361,0.850987382,,,
Znhit1,0.03275808,0.826611002,,,
RP23-67H24.1,0.032703952,NA,,,
Sytl2,0.032686834,NA,,,
Vti1a,0.032669152,0.823618711,,,
Zfp12,0.032654162,0.839264139,,,
Ccdc166,0.032622714,NA,,,
Zfp429,0.032612028,0.916527383,,,
Etfb,0.032605794,0.904893939,,,
RP24-175N4.1,0.032593841,NA,,,
Wdr53,0.032586151,0.868550312,,,
Stk24,0.032580417,0.787035319,,,
Psma3,0.032574351,0.752654705,,,
Zcchc7,0.032554138,0.826050688,,,
Mrpl45,0.032536932,0.775577128,,,
Hpca,0.032527256,NA,,,
Kcna3,0.032527256,NA,,,
RP24-271M20.2,0.032527256,NA,,,
Slc27a3,0.032508865,0.90376076,,,
Ift27,0.032493149,0.890626319,,,
Dennd2c,0.032484442,0.746181518,,,
Tssk4,0.032483412,NA,,,
Gtpbp8,0.032478858,0.890125271,,,
Ccdc62,0.032474404,NA,,,
Nin,0.032458171,0.78769163,,,
RP23-28A7.6,0.032454016,NA,,,
Snora19,0.032444523,NA,,,
RP23-31H15.4,0.032433276,NA,,,
H2-K1,0.03241451,0.715933026,,,
RP24-511H12.3,0.032406628,NA,,,
Gm26641,0.032398183,NA,,,
St3gal5,0.032398183,NA,,,
Ubp1,0.032397278,0.790647678,,,
Npc1l1,0.032364919,NA,,,
Snrpc,0.032361494,0.83761065,,,
Mndal,0.032356182,0.917442496,,,
Fam92a,0.032348435,0.811871227,,,
RP23-155F13.3,0.032347038,NA,,,
Gm23472,0.032341424,0.915946542,,,
RP23-136I22.1,0.032309978,NA,,,
RP24-248P14.5,0.032303267,NA,,,
Ppp4r2,0.032251962,0.766828766,,,
Ltbp3,0.032250925,0.916906284,,,
Rwdd4a,0.032230605,0.813434584,,,
Slmap,0.032229824,0.74841145,,,
Mir1967,0.032220498,NA,,,
2210008F06Rik,0.032217803,NA,,,
RP24-492O4.5,0.032190026,NA,,,
Plekha5,0.032163205,0.827305109,,,
Sdf4,0.032156675,0.738742341,,,
RP23-19C9.2,0.032149837,NA,,,
RP24-216A12.2,0.032145337,NA,,,
Itsn1,0.032135468,0.794252026,,,
Gm26411,0.032134022,NA,,,
Tmem234,0.032132328,0.764577105,,,
Dgcr2,0.032115584,0.747445695,,,
C1d,0.032115259,0.802871322,,,
Polr3f,0.032114412,0.786260724,,,
RP23-320N1.1,0.032085713,NA,,,
Slc35e2,0.03207381,0.81970006,,,
Lmod1,0.032060942,0.91847563,,,
Serpinh1,0.032056002,0.854077819,,,
Fam166a,0.032023943,NA,,,
Mir763,0.032016781,NA,,,
Dnah17,0.032008509,NA,,,
B130006D01Rik,0.03198584,0.919653582,,,
2700012I20Rik,0.031960235,NA,,,
Sbk1,0.031954762,0.886652755,,,
Il11ra1,0.031913284,NA,,,
Myo1c,0.031885879,0.6893006,,,
Smarcd2,0.031885,0.763406057,,,
Tmem2,0.031868574,0.699092704,,,
Gm26785,0.031858981,NA,,,
Anapc16,0.031850751,0.804529541,,,
Glt8d2,0.031821244,NA,,,
Aaed1,0.03178398,0.820629621,,,
Dbndd1,0.031777352,NA,,,
Thap2,0.031760167,0.877419606,,,
Ltn1,0.031751777,0.751381289,,,
Gpkow,0.0317339,0.841233539,,,
RP24-89J20.1,0.03170789,0.916527383,,,
Adam4,0.031697952,NA,,,
Mir7090,0.031696015,NA,,,
Slc44a3,0.031695849,NA,,,
Trim71,0.031695849,NA,,,
Txndc2,0.031695849,NA,,,
Tjp3,0.03166891,NA,,,
RP23-188H10.3,0.031664623,NA,,,
RP24-282D16.9,0.031659836,0.917442496,,,
Wdr1,0.031654897,0.62423523,,,
RP23-363J15.2,0.031630879,NA,,,
AC110247.1,0.031628152,0.874628783,,,
Zfp655,0.031604581,0.813042495,,,
RP23-231C16.1,0.03160368,NA,,,
RP23-414K1.12,0.03160368,NA,,,
Pgbd1,0.031567081,NA,,,
RP23-364L1.2,0.031559971,NA,,,
Tub,0.031538697,NA,,,
Nudt13,0.031533024,0.923330294,,,
RP23-281E24.2,0.03150594,0.923330294,,,
Zfp746,0.031493529,0.860155377,,,
Trp53cor1,0.031480585,NA,,,
Gdap1,0.031466868,NA,,,
RP23-293B11.4,0.031459057,NA,,,
Gm24276,0.031440767,NA,,,
Dcst2,0.031426958,NA,,,
Smad3,0.031422319,0.799334777,,,
Zfp524,0.031412254,0.923792901,,,
AC155163.2,0.03140063,NA,,,
RP23-428N4.7,0.031369888,NA,,,
Gm26445,0.031369413,NA,,,
Mir6991,0.031369413,NA,,,
RP23-372N19.4,0.031369413,NA,,,
Stk19,0.031356255,0.892265534,,,
Mir7030,0.031347,NA,,,
Supt4a,0.03130604,0.860512358,,,
Setmar,0.031275513,0.921221898,,,
RP24-177A17.3,0.031243803,NA,,,
Zfp952,0.031240019,0.903900582,,,
Pcdha12,0.031234025,NA,,,
RP23-262C6.2,0.031222108,NA,,,
RP23-312H15.4,0.031222108,NA,,,
RP24-73K7.4,0.03122189,0.923792901,,,
Dnajc7,0.031197332,0.742678995,,,
Kcnb2,0.031168595,NA,,,
Asns,0.03114234,0.736750352,,,
Zfp868,0.031104721,0.871744898,,,
AC149085.3,0.031099857,NA,,,
E4f1,0.031084987,0.868488247,,,
Dcdc2b,0.031060946,NA,,,
RP24-540L1.2,0.031047039,NA,,,
Mreg,0.031020303,0.808127979,,,
Angel2,0.031004522,0.795889561,,,
RP24-310B3.1,0.030986569,NA,,,
Tmem71,0.030978341,0.923792901,,,
RP23-74N13.2,0.030972165,NA,,,
Bbs5,0.030943181,0.88589332,,,
En1,0.030916475,NA,,,
Rpl17,0.030908448,0.703457356,,,
WI1-817D1.2,0.030893728,0.912350309,,,
Oas3,0.030885537,0.921669707,,,
Nipa2,0.030878207,0.803242888,,,
RP23-173H11.3,0.030876603,NA,,,
RP23-289E11.2,0.030857064,NA,,,
RP23-307I20.1,0.030830958,NA,,,
RP24-170A20.5,0.030816281,NA,,,
Add1,0.030786936,0.737518857,,,
Ankzf1,0.030779999,0.853883525,,,
RP23-44E17.1,0.030741395,0.923792901,,,
RP23-434B7.2,0.030737071,NA,,,
RP23-384D6.1,0.030729284,NA,,,
AC157561.9,0.030720631,0.925535206,,,
Pip4k2c,0.030715117,0.793865028,,,
Me3,0.030681032,NA,,,
Fscn2,0.030634851,NA,,,
Gm27781,0.030634851,NA,,,
Kcnt1,0.030634851,NA,,,
Meig1,0.030634851,NA,,,
Mir6984,0.030634851,NA,,,
RP23-10P23.3,0.030634851,NA,,,
RP23-282K7.1,0.030634851,NA,,,
RP23-34P11.1,0.030634851,NA,,,
RP23-416K12.4,0.030634851,NA,,,
Spink6,0.030634851,NA,,,
Gm26300,0.030616384,NA,,,
RP23-456B7.4,0.030611047,NA,,,
Sox5,0.030611047,NA,,,
Pogz,0.030569374,0.894273084,,,
Mplkip,0.030559887,0.883688492,,,
Mir6990,0.030514023,NA,,,
Il1r1,0.030512862,0.819056353,,,
Eno4,0.030502128,NA,,,
Akt1s1,0.030501364,0.824112159,,,
Frmd7,0.030479038,NA,,,
Gm24003,0.030479038,NA,,,
Mxra8,0.030479038,NA,,,
RP23-400O10.6,0.030479038,NA,,,
Snap25,0.030475775,NA,,,
Gm23751,0.030409647,NA,,,
RP23-74B7.1,0.030395978,NA,,,
Btn2a2,0.030392667,NA,,,
Slc16a2,0.030392049,0.888397263,,,
RP23-181P23.2,0.030355628,NA,,,
Ppp6r3,0.030345069,0.688351318,,,
Slc25a15,0.030328879,0.835557933,,,
Mir7039,0.030296654,NA,,,
Kcne1,0.030236812,NA,,,
