naive_hESC_rep1	naive_hESC_rep2	naive_hESC_rep3	naive_hESC_rep4	primed_hESC_rep1	primed_hESC_rep2	primed_hESC_rep3	primed_hESC_rep4	exonlength
SERBP1	19264	21335	12379	18646	12331	10578	13681	14086	26898
SERF1A	0	0	0	0	0	0	1	0	5228
SERF1B	0	0	0	0	0	0	0	0	5188
SERF2	287	250	260	215	98	91	51	112	17574
SERF2-C15ORF63	0	0	0	0	0	0	0	0	1770
SERGEF	100	104	66	59	24	44	26	63	1481
SERHL	0	2	4	9	5	8	6	5	1346
SERHL2	5	9	18	12	13	14	8	7	1362
SERINC1	1937	1732	1053	1415	850	558	852	952	3118
SERINC2	14	34	41	38	52	63	62	92	11040
SERINC3	2037	1624	1492	2240	1237	995	1042	957	4298
SERINC4	6	10	32	16	36	30	21	45	1479
SERINC5	6069	6197	5824	7204	2798	2256	2089	2774	10300
SERP1	1133	1100	681	1095	700	620	711	598	3169
SERP2	6	4	4	3	3	2	5	6	781
SERPINA1	0	1	0	0	7	3	4	0	37072
SERPINA10	5	3	6	6	14	21	10	14	4551
SERPINA11	0	0	0	0	0	1	0	0	1466
SERPINA12	0	0	0	0	0	0	0	0	2055
SERPINA13	0	0	0	0	0	0	0	0	1713
SERPINA3	0	0	0	0	0	0	0	1	1585
SERPINA4	0	0	0	0	0	0	0	0	1656
SERPINA5	1	0	0	0	2	6	4	5	2306
SERPINA6	1	0	0	0	0	0	0	0	1487
SERPINA7	0	0	0	0	0	0	0	0	1591
SERPINA9	0	0	0	0	0	0	0	0	3371
SERPINB1	350	476	325	388	132	117	57	77	1285
SERPINB10	0	0	0	0	0	0	1	1	1187
SERPINB11	0	0	0	0	0	0	0	0	1722
SERPINB12	0	2	0	0	0	0	1	0	1211
SERPINB13	0	0	0	0	0	0	0	0	3172
SERPINB2	0	0	0	0	1	0	0	0	4057
SERPINB3	0	0	0	0	0	1	5	4	1769
SERPINB4	0	0	0	1	2	0	1	5	1711
SERPINB5	6	8	4	5	12	13	3	4	2626
SERPINB6	2288	2516	1466	1845	178	138	88	136	3946
SERPINB7	0	0	0	0	0	1	0	0	4192
SERPINB8	12	8	5	7	23	24	16	23	8010
SERPINB9	26655	22191	17647	26309	3139	2418	1953	2114	4138
SERPINC1	1	0	0	1	3	2	0	5	1592
SERPIND1	5	8	21	10	4	4	6	7	2216
SERPINE1	686	406	315	335	104	51	43	82	6298
SERPINE2	183	189	151	169	2743	1367	824	789	6674
SERPINE3	3	0	4	2	15	11	15	14	1434
SERPINF1	522	442	438	561	61	63	49	84	1525
SERPINF2	4	0	0	2	1	2	1	1	6609
SERPING1	77	52	119	134	404	420	671	533	3765
SERPINH1	1449	1733	1598	1686	978	968	627	866	4585
SERPINI1	9	2	4	5	20	15	20	24	3569
SERPINI2	0	0	0	0	1	1	1	3	1421
SERTAD1	30	33	33	22	3	1	1	6	1202
SERTAD2	653	606	562	756	610	378	493	404	5546
SERTAD3	144	184	144	144	27	23	11	26	2921
SERTAD4	3	6	7	4	29	14	30	19	2004
SERTM1	0	2	0	1	5	10	25	15	3204
SESN1	1279	1851	751	1178	594	531	524	465	8569
SESN2	503	527	341	366	36	49	25	69	3518
SESN3	469	462	241	276	320	265	784	449	1977
SESTD1	2129	2445	1302	1811	931	644	1053	898	10430
SET	13383	14213	6639	11623	6113	5091	8183	8129	10899
SETBP1	129	98	164	160	309	276	329	326	11674
SETD1A	327	389	543	519	173	181	149	219	6428
SETD1B	1038	1036	1255	1358	131	132	97	178	8178
SETD2	6045	5766	5483	6541	4667	4554	5983	5468	8412
SETD3	1138	1242	731	931	616	568	441	691	4297
SETD4	235	234	411	319	262	447	371	469	11401
SETD5	6333	7197	6405	7349	10059	9178	11783	11351	6804
SETD6	406	784	707	616	524	531	530	713	5869
SETD7	372	469	384	555	494	295	152	133	7004
SETD8	540	652	617	675	231	191	172	231	2743
SETD9	52	54	54	62	68	39	81	58	3108
SETDB1	886	1072	839	885	288	290	219	379	10325
SETDB2	124	161	178	157	199	203	267	171	11812
SETMAR	198	141	177	142	189	252	206	263	6029
SETX	3846	4051	3347	4578	3357	2884	4412	3381	10990
SEZ6	10	17	19	11	4	8	4	9	8374
SEZ6L	0	0	0	1	13	13	3	2	38814
SEZ6L2	159	245	193	236	56	91	52	105	20267
SF1	2357	2150	1609	1999	603	576	448	746	24600
SF3A1	1505	1787	1463	1606	483	413	373	586	10013
SF3A2	53	45	91	81	17	9	12	19	1641
SF3A3	2065	2276	1342	1895	926	884	1099	1238	2819
SF3B1	6649	7534	5383	7583	6634	4319	8162	7937	4880
SF3B14	1146	1176	657	915	456	427	424	405	767
SF3B2	6915	8823	4978	7201	1964	1622	1406	2694	2872
SF3B3	8061	9272	6530	8369	2778	2598	2782	3823	9694
SF3B4	464	354	410	552	108	93	73	131	1987
SF3B5	366	370	150	208	86	91	49	101	736
SFI1	48	112	128	94	65	93	50	116	8346
SFMBT1	105	178	153	195	236	223	434	460	13963
SFMBT2	247	353	556	556	270	275	259	348	15904
SFN	48	29	16	32	7	6	6	3	1314
SFPQ	8026	5908	3603	6334	3596	2937	3978	4539	3063
SFR1	116	107	108	123	127	136	123	131	2927
SFRP1	962	980	832	890	5071	4028	5689	5564	4464
SFRP2	6	4	16	7	1259	1279	1212	1065	1987
SFRP4	2	0	1	0	3	1	1	0	2967
SFRP5	0	1	0	1	3	0	1	2	1880
SFSWAP	949	1222	1426	1303	819	737	849	980	3227
SFT2D1	327	280	170	210	126	111	145	141	682
SFT2D2	539	501	460	499	108	102	40	121	848
SFT2D3	282	183	137	196	83	73	73	98	2810
SFTA1P	0	0	0	0	21	6	4	8	689
SFTA2	0	0	0	0	0	0	0	0	2706
SFTA3	0	1	0	0	0	0	0	0	1482
SFTPA1	0	0	0	0	0	0	0	0	12830
SFTPA2	0	0	0	0	1	0	0	0	2195
SFTPB	79	99	280	238	146	176	106	137	6483
SFTPC	0	0	0	0	0	0	0	0	3112
SFTPD	61	58	37	34	5	0	1	5	1275
SFXN1	278	331	425	351	417	409	272	434	2980
SFXN2	81	84	138	129	83	101	105	185	2550
SFXN3	35	59	140	71	55	61	50	82	3078
SFXN4	112	155	149	119	20	25	24	32	1374
SFXN5	126	146	148	176	49	61	33	61	4126
SGCA	0	1	0	1	0	1	0	0	2476
SGCB	405	469	578	489	931	838	837	927	4273
SGCD	9	8	6	5	29	13	8	19	21080
SGCE	150	208	179	226	318	279	305	317	5149
SGCG	9	17	11	10	2	7	9	6	1647
SGCZ	0	0	0	0	0	0	2	4	2170
SGIP1	1	0	1	0	45	31	29	26	4669
SGK1	2440	1831	1827	2612	400	227	372	495	10641
SGK110	0	1	0	0	0	0	1	2	1265
SGK196	528	578	500	638	170	132	119	169	1610
SGK2	0	5	1	4	5	9	0	1	5907
SGK223	184	218	201	243	346	348	308	326	4622
SGK3	0	0	1	0	0	0	0	0	12707
SGK494	348	426	605	404	338	427	287	500	3767
SGMS1	458	308	270	330	420	412	406	439	3742
SGMS2	2	1	3	3	31	15	20	22	18317
SGOL1	969	858	919	1185	1108	1085	1558	1165	34029
SGOL2	374	307	278	380	902	879	1376	766	13079
SGPL1	5441	5020	3439	4452	1876	1637	1253	1804	5754
SGPP1	42	60	38	46	54	56	41	26	3305
SGPP2	0	0	5	2	4	4	2	2	1195
SGSH	39	59	100	66	14	10	8	20	2760
SGSM1	106	148	379	229	206	271	153	310	23908
SGSM2	27	64	130	73	55	68	58	102	9550
SGSM3	137	251	291	182	46	39	21	36	2967
SGTA	220	237	177	224	74	74	38	93	2303
SGTB	440	391	567	611	409	387	428	478	5442
SH2B1	106	192	217	139	33	41	24	51	17014
SH2B2	5	4	4	4	5	5	2	6	1887
SH2B3	866	935	749	856	244	305	300	454	5398
SH2D1A	0	0	0	0	0	0	0	0	5017
SH2D1B	0	0	0	0	3	0	0	0	2531
SH2D2A	5	15	6	11	6	8	4	11	7842
SH2D3A	110	127	135	131	26	34	16	32	2346
SH2D3C	22	25	58	52	3	0	1	14	19489
SH2D4A	794	758	554	783	54	58	76	99	9633
SH2D4B	8	2	8	13	4	1	1	0	7456
SH2D5	98	122	99	66	19	26	22	31	7520
SH2D6	0	0	0	0	2	0	1	0	889
SH2D7	1	3	2	0	0	1	0	3	1886
SH3BGR	29	49	30	30	72	46	77	77	2211
SH3BGRL	119	103	105	117	1220	1135	2302	1243	2058
SH3BGRL2	373	305	189	299	623	370	471	490	4642
SH3BGRL3	672	620	588	898	557	408	533	550	1112
SH3BP1	24	50	46	81	25	23	9	14	2558
SH3BP2	343	491	698	456	252	315	183	345	36594
SH3BP4	2049	2069	1379	2199	1030	787	1363	1071	5177
SH3BP5	33	37	16	24	9	7	7	10	5481
SH3BP5L	47	52	37	40	16	23	13	21	3175
SH3D19	1608	1974	1837	2403	2890	2694	3897	3054	19699
SH3D21	168	257	560	373	38	27	20	37	4815
SH3GL1	88	153	167	229	58	62	33	63	7105
SH3GL1P1	5	19	37	22	11	13	7	11	2496
SH3GL1P2	10	21	47	30	11	11	8	15	2489
SH3GL2	1	0	3	8	32	48	46	65	2719
SH3GL3	69	80	56	52	66	72	60	82	3361
SH3GLB1	541	491	457	573	1108	797	921	927	25478
SH3GLB2	102	127	107	92	35	32	21	47	1973
SH3KBP1	893	1019	1081	1321	1384	1083	536	670	13036
SH3PXD2A	1232	1057	1094	1282	253	179	155	254	11233
SH3PXD2B	1207	1363	1120	1606	795	787	670	1005	7764
SH3RF1	1454	1239	1004	1388	270	213	182	254	5253
SH3RF2	3	2	5	4	45	29	19	20	3033
SH3RF3	7	4	3	1	29	15	1	11	5598
SH3TC1	108	144	114	91	1	0	0	0	4242
SH3TC2	13	17	9	2	15	15	16	17	26563
SH3YL1	60	66	53	69	249	171	191	199	3500
SHANK1	0	0	1	2	1	5	2	2	6620
SHANK2	41	57	69	93	576	649	866	978	19266
SHANK3	61	50	129	88	16	9	3	18	7122
SHARPIN	53	47	118	104	5	6	5	13	3484
SHB	283	274	194	243	141	119	98	122	6015
SHBG	1	6	5	2	3	14	5	18	6941
SHC1	1555	1536	1321	1770	813	694	538	1305	16397
SHC2	59	122	58	62	18	17	10	28	2481
SHC3	6	0	1	1	60	41	44	67	9756
SHC4	0	0	0	1	3	2	4	5	4544
SHCBP1	1055	1082	683	934	189	197	185	224	3219
SHCBP1L	9	8	3	3	0	2	0	0	2355
SHD	10	14	6	4	0	4	2	6	2570
SHE	36	36	79	85	29	23	25	26	6177
SHF	4	10	9	12	12	8	5	17	2492
SHFM1	2145	2123	780	900	757	634	675	752	495
SHH	0	0	0	0	0	0	0	0	1573
SHISA2	18	18	58	41	155	112	100	138	2887
SHISA3	3	4	2	0	30	19	8	12	1969
SHISA4	14	6	13	17	4	6	3	6	3018
SHISA5	1711	1655	1282	2021	253	183	194	279	2160
SHISA6	1	0	4	3	112	81	117	115	22020
SHISA7	4	1	0	4	10	8	9	10	6031
SHISA8	7	11	8	5	1	0	1	2	1401
SHISA9	432	406	2020	1596	4314	5590	4876	4207	10900
SHKBP1	134	195	232	268	32	38	25	43	2347
SHMT1	1094	1099	804	1213	175	176	108	235	4898
SHMT2	2175	1949	1608	2476	280	299	217	427	17717
SHOC2	748	848	532	817	1079	898	1270	1119	3938
SHOX	136	199	355	232	182	258	155	253	11392
SHOX2	5	9	2	8	9	3	0	4	9473
SHPK	1641	2369	1759	2164	288	306	236	281	3831
SHPRH	1116	1231	1246	1394	1338	1338	1579	1761	14271
SHQ1	421	470	290	437	175	133	150	175	2837
SHROOM1	106	142	377	250	137	156	93	166	7371
SHROOM2	1064	1227	1102	1422	222	186	186	254	7435
SHROOM3	1104	994	906	1158	430	350	449	545	11008
SHROOM4	49	58	110	91	273	238	254	371	15548
SI	0	0	0	0	0	0	0	0	5963
SIAE	221	233	284	230	44	52	44	47	5923
SIAH1	1108	1124	354	679	266	208	387	369	4382
SIAH2	7	19	14	11	304	219	287	255	2618
SIAH3	1	4	11	14	2	5	2	4	3992
SIDT1	10	17	51	41	27	28	36	38	4977
SIDT2	203	227	291	297	93	51	41	100	3893
SIGIRR	111	112	86	62	23	18	8	22	5022
SIGLEC1	0	0	0	2	0	0	0	2	6699
SIGLEC10	81	96	264	141	95	150	84	170	21076
SIGLEC11	27	34	71	46	25	37	14	26	6021
SIGLEC12	0	0	0	0	0	0	0	0	3847
SIGLEC14	16	11	39	23	21	15	13	36	2106
SIGLEC15	0	0	0	0	0	0	1	0	1499
SIGLEC16	11	14	40	23	19	17	17	23	1605
SIGLEC5	0	0	1	0	0	1	0	1	2489
SIGLEC6	0	0	0	0	0	0	0	0	12053
SIGLEC7	0	0	0	0	0	1	0	0	3216
SIGLEC8	24	30	81	48	30	51	28	49	2942
SIGLEC9	0	1	0	3	0	2	1	0	3304
SIGLECP3	2	0	1	4	4	1	0	0	2227
SIGMAR1	251	282	415	614	175	142	100	190	3211
SIK1	479	622	578	717	54	28	15	27	4689
SIK2	180	199	162	246	383	353	270	358	5663
SIK3	245	226	313	380	578	580	448	658	6045
SIKE1	1004	905	741	1031	955	835	1027	873	10984
SIL1	60	85	90	101	29	10	6	8	3867
SIM1	0	0	0	1	3	3	7	3	3984
SIM2	22	37	37	48	7	3	2	7	6570
SIN3A	4368	4775	3716	5084	2800	2706	3085	3578	20001
SIN3B	230	298	370	350	164	180	88	204	5118
SIPA1	17	40	25	36	10	16	12	25	7099
SIPA1L1	1032	1250	1249	1537	1389	1342	1323	1781	5983
SIPA1L2	651	992	612	714	645	358	310	359	6467
SIPA1L3	435	502	591	631	278	246	232	347	7961
SIRPA	10	19	20	20	51	70	48	61	12152
SIRPB1	2	1	4	5	12	10	7	9	6400
SIRPB2	35	49	101	78	48	68	33	65	5362
SIRPD	0	0	0	0	0	0	0	0	808
SIRPG	0	0	0	0	0	0	0	0	4149
SIRT1	1336	1433	740	1213	1305	1240	3057	1521	7665
SIRT2	56	46	66	101	6	11	2	8	7985
SIRT3	86	127	255	172	109	138	94	156	5644
SIRT4	5	15	11	6	7	4	3	6	1206
SIRT5	126	155	244	197	234	225	196	305	15754
SIRT6	9	9	11	14	1	4	0	3	3176
SIRT7	93	129	99	81	8	15	7	9	1721
SIT1	0	0	0	0	1	0	1	2	1231
SIVA1	299	349	299	271	24	28	10	44	1340
SIX1	22	36	40	37	1	6	3	3	2685
SIX2	156	149	114	199	1	0	2	0	2152
SIX3	3	0	0	1	8	2	7	10	2521
SIX4	575	725	953	936	1237	1280	1747	1512	6272
SIX5	91	82	140	184	17	22	5	28	3328
SIX6	0	0	0	0	0	0	0	0	1473
SKA1	893	818	1121	1372	774	651	637	787	5777
SKA2	353	320	240	355	475	468	527	634	5935
SKA3	1637	1124	1020	1950	916	936	1491	762	5702
SKAP1	0	1	1	0	1	1	0	1	3123
SKAP2	138	135	123	108	107	106	92	153	3957
SKI	408	435	492	617	471	447	633	510	5700
SKIL	5045	5250	3792	6236	8342	6781	11319	9172	28134
SKINTL	4	3	0	5	52	37	5	16	1501
SKIV2L	102	147	152	139	32	29	11	44	24852
SKIV2L2	1166	1318	740	1203	920	686	1906	1179	4177
SKOR1	0	1	0	0	1	0	0	0	2756
SKP1	2015	2244	478	761	902	785	1373	801	4701
SKP1P2	67	76	90	89	44	55	57	62	1881
SKP2	1582	1468	1458	2071	1536	1252	1229	1236	8215
SLA	0	0	0	0	5	2	3	3	9441
SLA2	31	47	125	92	56	77	45	86	5042
SLAIN1	55	78	69	82	210	252	233	238	13954
SLAIN2	1693	1361	1266	1982	1333	1165	1984	1120	6003
SLAMF1	0	0	1	0	0	2	0	0	1994
SLAMF6	8	7	17	17	9	11	3	12	10467
SLAMF7	35	61	124	65	48	56	30	80	2650
SLAMF8	0	0	2	0	2	0	0	0	3295
SLAMF9	0	0	0	0	0	0	0	0	2776
SLBP	1017	1009	738	1132	436	392	486	373	1717
SLC10A1	7	2	25	9	8	3	1	12	1626
SLC10A2	1	0	2	0	3	7	3	1	3773
SLC10A3	90	117	107	161	7	11	6	11	5821
SLC10A4	21	21	26	26	9	12	3	8	2115
SLC10A5	14	18	11	18	11	7	5	4	1316
SLC10A6	0	0	0	0	1	0	0	0	1496
SLC10A7	149	125	127	157	117	79	98	103	5570
SLC11A1	5	6	5	3	1	0	1	1	3837
SLC11A2	1321	1747	1676	1542	1539	1503	1416	1876	34774
SLC12A1	0	0	0	0	11	8	11	6	9364
SLC12A2	575	533	593	677	321	313	390	351	20518
SLC12A3	737	857	1048	817	11	22	9	18	16593
SLC12A4	215	392	357	244	94	95	52	85	23342
SLC12A5	3	4	9	6	7	9	6	8	12048
SLC12A6	2007	2158	2202	2229	967	886	991	1155	44939
SLC12A7	244	390	401	279	74	114	92	116	5280
SLC12A8	62	91	179	110	106	161	102	149	6932
SLC12A9	149	214	391	308	22	32	20	46	3280
SLC13A1	36	46	91	47	26	25	22	37	3782
SLC13A2	0	0	0	0	0	0	0	0	9539
SLC13A3	0	5	3	4	48	68	40	56	19819
SLC13A4	4	4	23	17	65	78	69	70	2878
SLC13A5	1	1	2	1	10	12	13	7	6403
SLC14A1	7	8	21	9	12	11	6	15	16343
SLC14A2	138	164	392	263	127	186	75	190	7787
SLC15A1	195	239	265	234	121	120	84	152	3104
SLC15A2	40	78	170	139	105	143	98	144	10910
SLC15A3	1	1	3	3	7	7	7	14	4048
SLC15A4	270	274	379	369	203	184	182	232	2781
SLC15A5	31	58	61	43	2	1	2	4	2914
SLC16A1	3297	2884	3184	3634	3594	3415	4299	4356	8277
SLC16A10	2126	1587	1672	2498	153	161	208	196	2885
SLC16A11	1	0	2	2	0	0	1	1	1799
SLC16A12	45	67	123	92	53	72	37	55	4614
SLC16A13	20	32	27	36	8	8	5	13	1744
SLC16A14	53	75	80	66	94	80	86	75	4393
SLC16A2	82	127	141	157	287	301	253	401	4366
SLC16A3	42	59	44	74	9	11	2	9	12311
SLC16A4	119	102	220	188	114	174	89	163	12067
SLC16A5	80	146	149	85	32	45	29	56	1918
SLC16A6	75	91	122	111	80	156	113	144	7770
SLC16A7	3	3	4	2	70	64	138	87	3536
SLC16A8	1	3	17	5	0	4	1	4	1891
SLC16A9	879	1039	709	1092	580	616	940	966	3981
SLC17A1	0	0	0	0	0	0	0	0	1830
SLC17A2	0	1	1	1	0	0	0	0	2364
SLC17A3	0	0	0	0	1	0	0	1	3357
SLC17A4	0	0	0	0	1	0	0	0	3588
SLC17A5	1178	1273	1682	1794	393	283	369	335	3303
SLC17A6	0	0	0	0	0	0	1	4	3910
SLC17A7	90	111	153	149	31	33	31	18	2964
SLC17A8	0	0	0	0	1	1	1	1	7793
SLC17A9	6	23	39	26	51	59	39	60	2579
SLC18A1	0	0	0	0	0	0	0	0	11329
SLC18A2	79	49	50	72	144	174	258	185	3856
SLC18A3	0	0	0	0	0	0	0	0	2419
SLC19A1	39	43	82	63	4	14	4	16	7360
SLC19A2	97	95	117	96	184	215	226	228	3630
SLC19A3	365	261	280	239	83	69	62	87	3761
SLC1A1	1	3	0	1	188	89	113	118	3727
SLC1A2	97	80	133	124	154	161	123	149	35324
SLC1A3	748	461	660	754	332	297	208	237	9154
SLC1A4	121	44	42	72	90	151	118	165	8321
SLC1A5	2227	1729	1410	1791	359	424	421	553	6514
SLC1A6	0	3	5	7	9	12	20	31	1710
SLC1A7	0	0	0	0	0	0	1	0	2666
SLC20A1	575	687	610	634	447	392	283	598	3366
SLC20A2	163	147	226	254	447	390	677	507	3645
SLC22A1	0	0	0	0	5	1	2	2	3678
SLC22A10	0	0	0	0	0	0	0	0	2564
SLC22A11	9	14	6	3	0	0	0	0	2502
SLC22A12	0	1	0	0	0	0	0	0	6126
SLC22A13	4	4	7	8	6	1	1	1	2550
SLC22A14	1	1	0	0	0	1	0	0	1967
SLC22A15	40	65	66	59	65	76	53	56	4708
SLC22A16	0	0	3	0	1	1	1	0	1977
SLC22A17	1	5	6	4	37	45	21	35	4328
SLC22A18	72	67	72	58	9	5	2	6	3059
SLC22A18AS	0	2	2	4	0	0	0	0	1543
SLC22A2	1	1	1	0	12	4	7	14	2501
SLC22A20	28	13	20	16	45	61	48	61	3788
SLC22A23	80	114	133	103	476	403	386	401	12022
SLC22A24	0	0	0	0	1	0	0	3	2091
SLC22A25	0	0	0	1	0	0	1	3	1635
SLC22A3	1	0	0	0	49	73	16	36	5613
SLC22A31	14	19	37	25	6	4	4	2	1852
SLC22A4	5	3	8	8	11	15	11	12	2182
SLC22A5	56	54	79	72	32	31	29	31	3270
SLC22A6	0	0	0	0	1	0	0	1	8506
SLC22A7	2	4	6	3	6	12	6	9	5092
SLC22A8	0	0	0	0	0	0	0	0	8041
SLC22A9	3	5	10	7	9	9	4	18	2298
SLC23A1	5	10	9	4	22	23	5	13	4680
SLC23A2	3051	2375	3080	3539	284	312	255	363	13872
SLC23A3	1	2	1	3	1	3	0	5	6820
SLC24A1	213	297	327	323	261	214	262	313	9281
SLC24A2	14	13	13	13	300	316	305	361	21610
SLC24A3	0	5	1	3	6	3	5	18	3872
SLC24A4	131	141	412	268	176	234	128	224	29101
SLC24A5	0	0	0	1	29	26	60	40	1608
SLC24A6	852	913	1086	953	18	26	21	31	2960
SLC25A1	238	258	240	240	16	15	11	27	6291
SLC25A10	28	56	64	53	10	10	3	9	1874
SLC25A11	339	340	230	286	62	59	50	59	5227
SLC25A12	587	720	485	494	138	120	159	166	3977
SLC25A13	898	950	616	898	734	615	734	790	9404
SLC25A14	139	151	84	92	86	74	65	97	3161
SLC25A15	286	410	628	464	311	395	261	422	4014
SLC25A16	4399	3651	1790	2401	88	95	113	127	2237
SLC25A17	566	494	420	497	256	253	248	378	2254
SLC25A18	33	28	30	32	15	7	2	11	2076
SLC25A19	35	52	64	79	4	8	6	17	4845
SLC25A2	0	0	0	0	0	1	1	1	1416
SLC25A20	72	115	46	64	28	19	28	19	1883
SLC25A21	6	6	3	6	86	110	242	120	5696
SLC25A22	183	178	320	332	16	22	11	21	8353
SLC25A23	852	872	952	1354	306	194	210	231	3450
SLC25A24	156	171	131	151	453	307	417	412	6781
SLC25A25	161	138	162	187	79	44	45	85	13190
SLC25A26	134	175	115	106	93	122	94	177	7010
SLC25A27	3	6	14	5	72	65	59	90	8209
SLC25A28	268	453	387	298	88	116	67	118	1551
SLC25A29	499	803	712	486	70	86	32	103	2366
SLC25A3	9496	10083	4542	6959	3014	2349	3307	3705	5248
SLC25A30	215	183	181	260	119	96	111	101	3658
SLC25A31	8	5	2	1	0	0	0	0	1806
SLC25A32	413	434	537	504	365	423	308	394	3017
SLC25A33	583	621	276	394	122	83	80	89	1454
SLC25A34	56	58	138	88	49	65	49	74	3065
SLC25A35	53	70	118	99	19	18	5	19	2779
SLC25A36	1005	976	684	987	877	789	1125	964	9305
SLC25A37	131	149	157	129	157	126	115	163	1861
SLC25A38	709	753	479	493	141	124	108	168	2117
SLC25A39	1974	2308	2582	2537	196	228	140	275	3172
SLC25A4	1027	1077	773	1322	747	641	772	732	4416
SLC25A40	71	78	71	84	224	215	221	197	3130
SLC25A41	4	6	4	4	0	0	1	0	1544
SLC25A42	28	58	56	51	9	11	0	13	3124
SLC25A43	426	381	288	420	126	99	120	107	2539
SLC25A44	9880	11262	8496	10801	458	490	435	630	3628
SLC25A45	15	19	51	23	31	32	16	28	4504
SLC25A46	103	90	74	111	100	98	80	74	2318
SLC25A47	0	1	1	0	0	0	0	0	1727
SLC25A48	0	1	1	2	0	0	0	1	1194
SLC25A5	12507	12760	4603	6663	1839	1808	2102	1815	1347
SLC25A5-AS1	5	27	19	10	6	8	11	12	3087
SLC25A6	6417	6848	3838	5453	660	634	393	897	2960
SLC26A1	0	0	1	0	0	0	0	3	8182
SLC26A10	14	33	38	31	2	4	2	1	2395
SLC26A11	81	129	136	130	40	37	23	39	11349
SLC26A2	103	103	197	196	327	271	345	373	8072
SLC26A3	0	0	1	0	0	0	0	0	2873
SLC26A4	69	97	179	132	69	90	70	111	4907
SLC26A5	2	12	7	6	13	20	13	17	11099
SLC26A6	175	317	383	259	76	81	48	106	10518
SLC26A7	0	0	1	1	3	4	1	1	7900
SLC26A8	2	5	3	0	7	10	4	12	9943
SLC26A9	0	0	0	1	0	1	0	1	9376
SLC27A1	21	32	56	51	27	55	14	43	3535
SLC27A2	2	3	0	1	68	46	97	56	4604
SLC27A3	64	104	104	69	39	53	35	45	2403
SLC27A4	261	353	352	261	8	8	2	13	3183
SLC27A5	29	33	30	34	4	5	4	8	2355
SLC27A6	0	1	0	0	12	11	8	29	5433
SLC28A1	4	7	3	2	0	0	2	0	4045
SLC28A2	67	68	196	157	101	113	60	117	2445
SLC28A3	12	25	15	24	7	1	2	1	13836
SLC29A1	1942	2181	1906	2444	397	418	346	549	11430
SLC29A2	272	417	608	501	80	107	51	105	2503
SLC29A3	111	129	127	204	56	60	37	76	8660
SLC29A4	12	15	30	22	12	4	6	9	5757
SLC2A1	1177	923	1770	2111	1153	940	1570	1396	3660
SLC2A10	17	31	32	35	160	139	150	136	4230
SLC2A11	23	49	76	51	29	22	27	55	6967
SLC2A12	16	16	14	15	198	176	282	190	5594
SLC2A13	130	125	99	93	347	263	267	180	6993
SLC2A14	183	173	166	210	310	184	91	145	2183
SLC2A2	0	0	2	0	12	8	6	4	3428
SLC2A3	3206	3110	2605	2973	6879	3209	1637	3391	3928
SLC2A4	55	94	218	135	96	132	75	147	3138
SLC2A4RG	61	97	118	89	29	31	20	38	2271
SLC2A5	29	46	52	62	1	1	0	0	3701
SLC2A6	25	39	101	76	47	50	24	58	4887
SLC2A7	0	0	0	0	0	2	0	0	1527
SLC2A8	31	73	67	40	29	55	26	33	2106
SLC2A9	3	2	7	8	3	1	0	1	3700
SLC30A1	341	259	174	363	483	273	702	553	2016
SLC30A10	6	0	0	0	8	9	6	4	2850
SLC30A2	72	27	34	29	1	1	1	0	4784
SLC30A3	7	6	9	7	20	20	25	35	2085
SLC30A4	4	9	24	14	15	29	17	20	4275
SLC30A5	1632	1910	1747	2088	499	399	353	458	6632
SLC30A6	1360	1376	1280	1681	992	829	1001	990	19289
SLC30A7	517	502	598	638	582	604	548	551	16091
SLC30A8	16	29	65	47	23	28	18	37	27034
SLC30A9	733	585	540	640	1082	942	1191	1100	3243
SLC31A1	2823	2366	2730	3456	1778	1641	2234	2217	4773
SLC31A2	22	31	48	39	29	20	12	22	1770
SLC32A1	2	2	0	1	0	3	0	1	2572
SLC33A1	531	514	445	599	224	214	220	208	6245
SLC34A1	0	1	11	5	2	2	2	2	4479
SLC34A2	137	144	128	151	29	24	10	21	12431
SLC34A3	0	0	2	0	1	2	0	0	6406
SLC35A1	72	62	76	81	60	86	54	55	3620
SLC35A2	751	747	550	556	114	106	48	110	5783
SLC35A3	107	83	65	87	174	147	80	67	2141
SLC35A4	612	655	511	633	222	216	136	230	2654
SLC35A5	1254	985	848	1165	494	435	708	469	2933
SLC35B1	770	759	795	967	185	205	149	226	1177
SLC35B2	233	275	200	147	45	39	23	78	2036
SLC35B3	190	155	112	143	84	62	61	63	6099
SLC35B4	1301	1384	1249	1637	1322	1086	1547	1506	6805
SLC35C1	93	109	90	107	29	30	7	29	9811
SLC35C2	171	214	177	166	31	29	25	56	6900
SLC35D1	293	286	238	284	175	133	91	135	6448
SLC35D2	102	134	73	70	69	74	58	66	1614
SLC35D3	0	0	0	0	4	8	9	13	2356
SLC35E1	651	589	767	754	361	413	305	473	5087
SLC35E2	427	468	605	560	404	425	437	503	8439
SLC35E2B	413	494	587	631	460	367	378	455	5994
SLC35E3	188	198	302	273	149	204	145	223	2342
SLC35E4	24	38	32	37	4	9	6	16	2540
SLC35F1	192	223	293	268	440	409	433	489	4844
SLC35F2	1051	1008	862	1192	285	279	300	268	3162
SLC35F3	3	1	1	5	76	50	23	26	2883
SLC35F4	1	1	1	2	1	4	3	1	1709
